WeekEnding,ActiveDecisions,AvgConfidence,LowCredClaims,ExpiredAssumptions,OpenPatches,REDPatches,AvgPromptHealth,Notes
2025-12-05,3,75,0,0,1,0,82,Baseline week
2025-12-12,4,74,0,0,2,0,80,Steady state
2025-12-19,5,73,1,0,3,0,78,Added 2 decisions
2025-12-26,6,72,1,0,4,0,76,New claims ingested
2026-01-02,7,71,2,0,5,1,74,First drift detected
2026-01-09,8,70,2,0,6,2,72,Patch cycle started
2026-01-16,9,69,3,1,7,3,70,Assumption expiry wave
2026-01-23,10,68,3,2,8,4,68,Recovery actions initiated
2026-01-30,11,67,4,3,9,5,66,Confidence stabilizing
2026-02-06,12,66,4,4,10,5,64,Patch backlog clearing
2026-02-13,13,65,5,5,10,5,62,Approaching steady state
2026-02-20,14,64,5,6,10,5,60,Quarter-end review
