PatchID,TriggerType,TriggerID,Description,Severity_GYR,Status,Owner,DateCreated,DateResolved,Resolution,Notes
PAT-001,Drift,ASM-001,Hiring freeze may be re-imposed,RED,Open,J. Rivera,2026-01-01,,,Patch 1 note
PAT-002,Expiry,ASM-002,Legacy API consumer found in logging service,RED,Open,M. Chen,2026-01-02,,,Patch 2 note
PAT-003,Manual,CLM-003,Migration path assumption near expiry,RED,Open,A. Patel,2026-01-03,,,Patch 3 note
PAT-004,LLM,CLM-004,Container registry credentials expiring,RED,Open,S. Kim,2026-01-04,,,Patch 4 note
PAT-005,Drift,ASM-005,Vendor pricing model changed unexpectedly,RED,Open,L. Torres,2026-01-05,,,Patch 5 note
PAT-006,Expiry,ASM-006,Data eng lead resignation pending,YELLOW,Open,R. Nakamura,2026-01-06,,,Patch 6 note
PAT-007,Manual,CLM-007,Reporting tool license renewal missed,YELLOW,Open,D. Williams,2026-01-07,,,Patch 7 note
PAT-008,LLM,CLM-008,Customer portal beta feedback negative,YELLOW,Open,K. Larsen,2026-01-08,,,Patch 8 note
PAT-009,Drift,ASM-009,Switch firmware vulnerability disclosed,YELLOW,Open,J. Rivera,2026-01-09,,,Patch 9 note
PAT-010,Expiry,ASM-010,Zero-trust rollout behind schedule,YELLOW,Open,M. Chen,2026-01-10,,,Patch 10 note
PAT-011,Manual,CLM-011,Office lease renewal deadline approaching,YELLOW,In Progress,A. Patel,2026-01-11,,,Patch 11 note
PAT-012,LLM,CLM-012,Code review adoption below target,YELLOW,In Progress,S. Kim,2026-01-12,,,Patch 12 note
PAT-013,Drift,ASM-013,Kafka cluster memory pressure detected,YELLOW,In Progress,L. Torres,2026-02-13,,,Patch 13 note
PAT-014,Expiry,ASM-014,Warehouse migration budget overrun risk,YELLOW,In Progress,R. Nakamura,2026-02-14,,,Patch 14 note
PAT-015,Manual,CLM-015,Innovation lab sponsor reassigned,YELLOW,In Progress,D. Williams,2026-02-15,,,Patch 15 note
PAT-016,LLM,CLM-016,Meeting reduction target not met,GREEN,In Progress,K. Larsen,2026-02-16,,,Patch 16 note
PAT-017,Drift,ASM-017,Compliance tool vendor acquired,GREEN,In Progress,J. Rivera,2026-02-17,,,Patch 17 note
PAT-018,Expiry,ASM-018,CDN latency regression in US-West,GREEN,Resolved,M. Chen,2026-02-18,2026-02-23,Resolved via corrective action,Patch 18 note
PAT-019,Manual,CLM-019,Support tier restructure staff concern,GREEN,Resolved,A. Patel,2026-02-19,2026-02-24,Resolved via corrective action,Patch 19 note
PAT-020,LLM,CLM-020,Analytics platform access policy gap,GREEN,Resolved,S. Kim,2026-02-20,2026-02-25,Resolved via corrective action,Patch 20 note
PAT-021,Drift,ASM-021,Pair programming pilot low participation,GREEN,Resolved,L. Torres,2026-02-21,2026-02-26,Resolved via corrective action,Patch 21 note
PAT-022,Expiry,ASM-022,QA vendor missed SLA target,GREEN,Resolved,R. Nakamura,2026-02-22,2026-02-27,Resolved via corrective action,Patch 22 note
PAT-023,Manual,CLM-023,IdP migration blocked by legacy app,GREEN,Resolved,D. Williams,2026-02-23,2026-02-28,Resolved via corrective action,Patch 23 note
PAT-024,LLM,CLM-024,Cross-team SLA metric disagreement,GREEN,Wont Fix,K. Larsen,2026-02-24,2026-02-28,Accepted risk; no action needed,Patch 24 note
PAT-025,Drift,ASM-025,CI pipeline flaky test accumulation,GREEN,Wont Fix,J. Rivera,2026-02-25,2026-02-28,Accepted risk; no action needed,Patch 25 note
PX-RM89,Drift,DEC-007,Auto-drift: Consolidate reporting tools,RED,Open,ci,2026-02-28,,,Generated by drift_to_patch_demo.py
